customer_id,timestamp,category,action,amount,age,gender,location,membership_years
368,2025-01-19 15:38:00,Beauty,view,0.0,22,F,Accra,4
475,2025-03-09 14:34:00,Books,view,0.0,69,F,Kumasi,4
367,2025-01-24 07:35:00,Clothing,add_to_cart,0.0,50,F,Kumasi,8
536,2025-04-16 03:02:00,Clothing,add_to_cart,0.0,22,F,Kumasi,1
471,2025-02-22 23:51:00,Books,view,0.0,47,M,Accra,8
254,2025-02-22 08:56:00,Books,view,0.0,28,M,Takoradi,9
566,2025-03-11 04:56:00,Clothing,view,0.0,29,M,Takoradi,7
615,2025-02-07 20:19:00,Home,add_to_cart,0.0,56,M,Takoradi,2
342,2025-02-16 03:27:00,Beauty,view,0.0,25,M,Kumasi,1
511,2025-02-05 14:40:00,Books,add_to_cart,0.0,54,M,Cape Coast,6
826,2025-02-19 04:24:00,Home,view,0.0,65,F,Takoradi,0
185,2025-04-22 14:53:00,Beauty,purchase,379.58,61,O,Accra,3
213,2025-02-23 20:07:00,Electronics,view,0.0,49,M,Takoradi,7
799,2025-02-11 09:31:00,Home,view,0.0,42,M,Cape Coast,8
254,2025-01-09 16:10:00,Clothing,view,0.0,28,M,Takoradi,9
785,2025-03-09 15:51:00,Electronics,view,0.0,50,O,Tamale,6
869,2025-04-12 16:00:00,Electronics,view,0.0,47,M,Tamale,2
81,2025-04-15 23:01:00,Home,add_to_cart,0.0,31,M,Kumasi,1
407,2025-02-08 16:33:00,Home,view,0.0,64,O,Cape Coast,0
73,2025-01-13 05:05:00,Beauty,purchase,429.7,21,O,Takoradi,1
575,2025-02-18 11:47:00,Books,purchase,253.17,30,F,Takoradi,6
963,2025-03-31 14:35:00,Beauty,view,0.0,64,O,Kumasi,3
851,2025-02-12 19:34:00,Clothing,view,0.0,18,M,Cape Coast,4
674,2025-03-02 22:03:00,Home,view,0.0,64,F,Accra,7
902,2025-04-07 16:39:00,Home,view,0.0,22,F,Kumasi,9
453,2025-01-27 15:05:00,Books,purchase,360.06,66,F,Kumasi,9
659,2025-03-17 15:58:00,Home,add_to_cart,0.0,40,M,Cape Coast,5
660,2025-04-05 03:43:00,Clothing,add_to_cart,0.0,33,M,Kumasi,4
883,2025-02-26 04:07:00,Home,add_to_cart,0.0,51,O,Kumasi,8
